投诉问题,投诉对象,发布日期,投诉要求,投诉内容
 利息违约金超高违规,南京银行鑫梦享,2022年08月25日 15:44, 取消违规收取的费用,贷款5万，还款半年每个月还1800，其中利息占了4200左右，本金才还了6600，现在想提前还清还要多收2200的违约金，贷款费率超出国家标准，
 提前6个月还款，说少,南京银行鑫梦享,2022年08月24日 00:38," 改善服务,南京银行写个书面证明",还款没有短信提醒，南京银行APP经常登录不上去，他们系统升级或者维护，看不到要还多少钱，最后一期也没有提前提醒还多少钱，误认为已经全额还款完了，今年8月份拉征信报告才发现逾期了4个月
 资方不协商,南京银行鑫梦享,2022年08月22日 17:11," 资方不协商,协商延期或二次分期还",本人于唯品会唯品花渠道借款，总额度5万，本来是循环额度，一直借还记录良好，上个月因为疫情导致失业，家里有人生病导致账单逾期，上个月起，截止今天33天逾期五千多元，在此期间，，本人尽力想还款，但是一有多余资金就还进去，同时也多次跟唯品会客服，资方南京银行电话沟通，想要协商还款事宜，调整还款方案，均被南京银行拒绝。而且最近也没有接到平台电话，发短信说逃避，本人在逾期期间主动联系平台客服，未达成议协， 本人诉求：欠债还钱天经地义，本人也承诺一定会如数还进去，但是希望能够：1、调整还款方案；2、停止催收
 高利贷,南京银行鑫梦享,2022年08月22日 11:46, 按天结算取消违约金,贷款十万分期48期，利息4万➕，办理的时候未提醒说必须6期后还款，当时说是随时可还，利息按天结算。实际经计算，前六期还款一共17000➕本金实际只有8000➕加上违约金计算利息实际高达百分之50超出国家允许范围
 违规收取高额违约金,南京银行鑫梦享,2022年08月21日 22:45, 退款,我于2021年3月30日在南京银行消费金融中心CFC上海分中心办理了鑫梦享诚易贷30万元。客户经理洪建（电话13122815***）。至今年5月一直正常还款。2022年5月27日，我用鑫梦享APP进行提前全部还款操作，共计225***.80元。但系统要求同时缴纳违约金。否则无法操作。当时办理该项业务时，并无人向我提示或告知提前还款要缴纳5%的违约金。我认为这属于南京银行对消费者的欺诈行为。强烈要求全额退还我缴纳的所谓“违约金”共11228.91元！
 虚假宣传,南京银行鑫梦享,2022年08月21日 22:20, 解释,听宣传的是8到9的年利息、贷后是14.4年利息、协商降息！谢谢
" 欺骗,以贷养贷,暴力催收",南京银行鑫梦享,2022年08月19日 15:15," 停止骚扰,道歉",朋友让我在鑫享贷的APP注册一下；后来朋友告诉我给我下款了15万；他还给我要了我1万5的手续费；由于疫情收入减少；还款困难，他建议我以贷养贷，又陆续给我申请了8000和5万的额度。提额的这2笔收了我4600的手续费。导致我负债越来越多，又因为疫情，经济来源越来越少，只能维持温饱；在我想办法筹钱的时候，自称南京银行的工作人员没有联系我，就贸然上门，找我单位来了。现在单位已经开除我了，现在我连吃饭的钱都没有了。他们还给我家里人、朋友打电话，因此事我天天失眠心理压力巨大，希望相关部门能处理此事！
 虚假宣传,南京银行鑫梦享,2022年08月19日 11:10, 撤销违约金，归还本金,7月18日，业务员上门推销产品，介绍说是南京银行信用卡，我也再三确认是不是信用卡，得到明确答案，是信用卡，全场业务员用我的手机下载下款，后让我拍摄视频，现场在我不知情的情况下，所有关于分期乐的验证信息删除，我有我手机上的APP分期乐是什么，业务员说是南京银行合作关系的，让我不要管它，后期我发现这个不是信用卡，需要每个月进行还款，用微信问过业务员，业务员说:他们使用方法一样的，现在如果提前还款要支付违约金和利息。业务员违规欺骗客户贷款，拿业务提成，后期分期乐业务员否认以上事实
 退款,南京银行鑫梦享,2022年08月17日 02:54," 退款,赔偿",本人2017-2020年共计从南京银行借款100次+每次都有捆绑的担保费年利率百分之28左右，利息年利率百分之8共计年利率百分之36，远超国家规定的年利率百分之15.4。要求退还所有担保费，国家有明确规定循环贷款可以合并征信，但是该银行依旧我行我素每笔都上征信，对我造成了不可挽回的伤害，要求合并征信，并且道歉，现已经将所有和该银行签订的借款合同发送至银保监会和南京监管部门
 大学生网贷,南京银行鑫梦享,2022年08月16日 15:32, 退回在读时的借款利息,在读书期间，在分期乐平台借了20000元左右，收取利息4800元左右，账号可查，根据国家法律法规禁止给在线学生放贷，但当时经不起诱惑，被平台虚假广告诱惑步入了网贷深坑，现在想申请退回大学生时借款时还的利息，希望得到黑猫投诉的帮助，帮我要回利息的退款。下面是有关学信网的资料和本人借钱和相关利息图片。
