投诉问题,投诉对象,发布日期,投诉要求,投诉内容
 未经允许私自查询征信,宁波银行,2022年08月24日 15:28," 解释,赔偿",本人从未在宁波银行申请贷款，后者未经本人授权以资信审查名义查询本人征信，对个人信用造成了影响。要求宁波银行作出解释，说明查询理由并删除查询记录。
 虚假宣传,宁波银行,2022年08月23日 16:24, 改善服务,投诉宁波银行杭州分行员工，虚假宣传年化3.6%利率信用贷，反复确认过是一般的先息后本的信用贷，开卡后为类似房贷的方式，每个月还要还本金，对我征信造成影响，目前已消户。该员工没有提前告知说明
 虚假宣传,宁波银行,2022年08月17日 15:56, 退款,2022年3月左右，宁波银行营销业务经理，到我们单位办理业务，给我办理了信用卡。业务员电话告知现在的贷款年利率只有4%左右，下款后可以购买理财或投资，比较划算，实际我并没有投资需求和用款需求。业务员鼓动我提前还清其它银行的信用贷，在确认年利率4%的情况下，在业务员的鼓动下，由其操作我的手机给我办理了30万元五年（60期）的贷款作为备用金，并未告知提前还清贷款需支付高额手续费。自下款后至2022年8月这半年时间，我曾多次跟业务员提出，我没有用款需求，希望把钱还给他们，每次都以利率低为由说服我。     直到2022年8月日，我正式明确提出要提前还掉贷款，业务员告知无法提前还清，同时还一年后才可以提前还清同事还有罚金，同时我发现利率并非最初的4%，宁波银行用错误的、虚假的、具有误导性的利息计算方法，即以等额本息产生的利息额却除以全部贷款总额的计算方式计算。实际利率约是4%的2倍多。     宁波银行及其业务员不按国家规定明确真实年化利率，坑害消费者，增加消费者负担，增加消费者心理压力。看到黑猫平台许多与我一样的受害者，实在懊恼。现在强烈要求不收手续费的前提下取消该笔贷款，希望宁波银行方面规范业务，加紧处理该事宜，以期公道。请有关国家部门监管！
" 客服服务态度差,暴力催收,爆通讯录",宁波银行,2022年08月17日 09:58," 解释,改善服务",宁波银行在能联系到我的情况下，疯狂的骚扰我的公司.我也从来没有留过公司电话.催收打电话还骂人.向我公司其他同事透露我的借贷信息.导致无法正常生活
 信用卡自动分期,宁波银行,2022年08月16日 16:25, 撤销分期,申请信用卡跟我说是一张高额信用卡，分期功能可取消，后来不断致电让我开卡，我提出我不需要分期功能，一直有95574致电说明可以提高分期启示额来保证我的消费不分期，由于第一张信用卡开卡之后第二张只需要点击激活，没有任何工作人员再次致电说明分期依旧存在，8.4日交易自动分期，账单未出之前仍不可取消，分期信用卡本身不符合我的用户要求前期对于这个问题含糊带过，现在说不可以，如图，自动分期之后并没有任何提醒告诉我账单分期了，对此行为进行实名投诉，接受任何方式的调研。
" 发票问题,虚假宣传,客服服务态度差,商品质量有问题",宁波银行,2022年08月14日 12:45," 解释,改善服务,商品换新",8月12日在宁波银行app波豆商城购买闪迪固态移动硬盘1T，13日收到使用发现读写速度严重有问题只有40mb左右，正常应该在600到800，买之前客服说不能提供发票，但有问题直接找他们售后处理，但现在联系客服他们不管不处理，让我自己找供货商，都没发票我怎么找存在严重欺诈行为，购买订单编号截图，客服对话截图已上传附件
" 私自签约,私自委托代收",宁波银行,2022年08月13日 00:24, 解约,宁波银行私自签约委托代收，本人没有做过任何签约委托的事情
 没经过同意发放贷款,宁波银行,2022年08月11日 21:51," 解释,赔偿,销户,允许一次性还款",宁波银行在本人不知情的情况下以移动公司送手机名义用本人户头贷款1980元，且本人也没有收到该款项，严重影响个人征信，该银行是不是在没有于本人联系且告知的情况下有权私自贷款且不放款给本人，欺骗消费者，严重影响个人征信。
 协商还款,宁波银行,2022年08月11日 15:20, 解释,由于疫情导致前几个月失业无收入，现在贷款不能及时还款。银行客服打电话催收跟客服说过逾期原因，也主动跟银行客服联系过，希望能协商还款。客服说没有这项业务，还说如再不归还会联系我的家人，我明确告知银行我有还款意愿，不要联系我的家人。希望能协商解决一下。
 暴力催收,宁波银行,2022年08月11日 10:12, 协商处理,2019年5月我收到宁波银行贷款的消息，当时需要用钱，然后我就在宁波银行app里面借款15万，先息后本的还款方式，分了六个月还款，前六个月我把利息都是按时支付的，后来因为做生意亏了一笔钱，然后我就东拼西凑向身边的亲朋好友借钱凑钱还款，身边的人几乎都借遍了，凑了大概13万多还了进去，还差银行一万多两万不到的样子，后来就是我的人生低谷时期，因为银行催收我无心上班丢掉了工作，紧接着我又经历了疫情，因疫情原因我很长时间都没有工作，也没有经济来源，现在工作刚刚步入正轨，然而银行催收的电话几乎是天天打，打电话让我去借钱，这让我很苦恼，他们也不肯协商还款，一直催，现在想死的心都有了，我不是有钱不还，我目前是实在没能力还款，我希望能和银行协商还本金，停止一切暴力催收，
